accession,strain,gene,genotype
HQ020372,A/great_black_headed_gull/Qinghai/4/2009(H5N1),HA,H5
HQ011408,A/Guangdong/01/2009(H1N1),HA,H1
CY043537,A/Kyoto/08K056/2009(H1N1),HA,H1
KP202355,A/swine/Denmark/10845_1/2012(H1N2),HA,H1
JF827081,A/chicken/Pakistan_Khi/NARC_612/2008(H5N1),HA,H5
GQ286175,A/Castro/JXP/2009(H1N1),HA,H1
HQ020373,A/great_black_headed_gull/Qinghai/5/2009(H5N1),HA,H5
FR687255,A/chicken/Egypt/1/2009(H5N1),HA,H5
KF277766,A/swine/Henan/1/2010(H3N2),HA,H3
MN918143,A/chicken/China/1104/2019(H9N2),HA,H9
MH412390,A/mallard/Alberta/199/2017(H4N6),HA,H4
JQ973678,A/quail/Jiangsu/k0104/2010(H5N5),HA,H5
KC984938,A/swine/Italy/218884_2/2012(H1N1),HA,H1
CY075479,A/Voronezh/RII1/2009(H1N1),HA,H1
EF619980,A/turkey/Turkey/1/2005(H5N1),HA,H5
CY043465,A/Nagasaki/07N005/2008(H1N1),HA,H1
KR732465,A/chicken/Vietnam/NCVD_03/2008(H5N1),HA,H5
MN918119,A/chicken/China/1101/2019(H9N2),HA,H9
GU183799,A/Thailand/CU_B589/2009(H1N1),HA,H1
MF099099,A/swine/Chile/2_7/2014(H1N1),HA,H1
CY017670,A/Indonesia/CDC836/2006(H5N1),HA,H5
FJ868033,A/chicken/Uthaithani/NIAH115067/2008(H5N1),HA,H5
HM176662,A/Taiwan/N86/2006(H1N1),HA,H1
CY017638,A/Indonesia/CDC938/2006(H5N1),HA,H5
CY040966,A/chicken/Laos/A0573/2007(H3N8),HA,H3
HQ853339,A/swine/Guangdong/1/2010(H1N2),HA,H1
EU604689,A/swine/OH/511445/2007(H1N1),HA,H1
HF563054,A/duck/Italy/1447/2005(H1N1),HA,H1
HM627945,A/openbill_stork/Thailand/VSMU_12_BKK/2003(H5N1),HA,H5
KC859038,A/swine/Thailand/CB069/2010(H1N1),HA,H1
KY047773,A/chicken/Shandong/YT0101/2015(H9N2),HA,H9
EU258943,A/swine/Missouri/4296424/2006(H2N3),HA,H2
EU372946,A/chicken/Egypt/06541_NLQP/2006(H5N1),HA,H5
GQ404697,A/ostrich/South_Africa/AI1447/2007(H6N8),HA,H6
AB212054,A/Hong_Kong/213/2003(H5N1),HA,H5
AJ289702,A/Fiji/15899/83(H1N1),HA,H1
AM183670,A/chicken/Indonesia/R60/05(H5N1),HA,H5
AM183671,A/chicken/China/1204/04(H5N1),HA,H5
AM749442,A/mute_swan/Germany/R1349/07(H5N1),HA,H5
AM911077,A/chicken/Romania/2910/05(H5N1),HA,H5
AY609312,A/Chicken/Guangdong/174/04(H5N1),HA,H5
AY646424,A/Swine/Shandong/2/03(H5N1),HA,H5
AY653200,A/chicken/Jilin/9/2004(H5N1),HA,H5
AY684706,A/chicken/Hubei/327/2004(H5N1),HA,H5
AY747617,A/Swine/Fujian/F1/2001(H5N1),HA,H5
AY854190,A/duck/Shandong/093/2004(H5N1),HA,H5
AY950230,A/chicken/Henan/01/2004(H5N1),HA,H5
CY014984,A/tern/South_Africa/1961(H5N3),HA,H5
CY034729,A/crow/Peshawer/NARC7914/2007(H5N1),HA,H5
CY062601,A/chicken/Egypt/18_H/2009(H5N1),HA,H5
CY062603,A/chicken/Egypt/33_1/2008(H5N1),HA,H5
CY062604,A/chicken/Egypt/34_2/2008(H5N1),HA,H5
CY062605,A/chicken/Egypt/35_3/2008(H5N1),HA,H5
CY062607,A/chicken/Egypt/37_1/2008(H5N1),HA,H5
CY062608,A/chicken/Egypt/38_2/2008(H5N1),HA,H5
CY062609,A/chicken/Egypt/6_A/2010(H5N1),HA,H5
CY062610,A/chicken/Egypt/8_C/2010(H5N1),HA,H5
CY080355,A/chicken/Sikkim/151466/2009(H5N1),HA,H5
CY091643,A/duck/Guangdong/wy24/2008(H5N5),HA,H5
DQ201829,A/Goose/Huadong/1/2000(H5N1),HA,H5
DQ366306,A/duck/Vietnam/1/2005(H5N1),HA,H5
DQ366314,A/goose/Vietnam/3/05(H5N1),HA,H5
DQ366322,A/duck/Vietnam/8/05(H5N1),HA,H5
